task_id,rep,n,p,p_eff,corr,auc,ci_width,ci_lower,ci_upper,selected_mtry,selected_ntree,class_balance
1416,16,500,10,10.0,0.0,0.8445279160739687,0.06359575035561882,0.8159895092460882,0.879585259601707,4,300,0.508
1415,15,500,10,10.0,0.0,0.8346088888888887,0.07480444444444445,0.8027088888888889,0.8775133333333334,2,600,0.498
1417,17,500,10,10.0,0.0,0.8421644444444445,0.05165333333333322,0.8159844444444445,0.8676377777777777,3,500,0.498
1418,18,500,10,10.0,0.0,0.8364894943019945,0.06421607905982907,0.8009014423076923,0.8651175213675214,5,300,0.482
1426,6,500,10,9.174311926605505,0.1,0.8805328233410424,0.054405354919053406,0.8566980964241239,0.9111034513431773,2,400,0.488
1421,1,500,10,9.174311926605505,0.1,0.8699563746438747,0.06628828347578353,0.8336338141025641,0.8999220975783476,3,300,0.52
1422,2,500,10,9.174311926605505,0.1,0.8923456680305994,0.05824808752890942,0.8690624444049101,0.9273105319338195,2,400,0.516
1419,19,500,10,10.0,0.0,0.853503383190883,0.05651931980056979,0.8270299145299145,0.8835492343304843,4,200,0.478
1425,5,500,10,9.174311926605505,0.1,0.8802437288738659,0.0628291229318626,0.8487235367372354,0.911552659669098,3,500,0.516
1424,4,500,10,9.174311926605505,0.1,0.8810944167852064,0.05506312233285915,0.8540718349928876,0.9091349573257468,1,400,0.494
1423,3,500,10,9.174311926605505,0.1,0.8682247150997149,0.07784009971509964,0.8256143162393162,0.9034544159544159,4,200,0.522
1420,20,500,10,10.0,0.0,0.8430298719772404,0.06254445234708395,0.8186766536273115,0.8812211059743954,2,400,0.504
1428,8,500,10,9.174311926605505,0.1,0.8974448005698006,0.04937900641025639,0.8748620014245015,0.9242410078347579,4,400,0.52
1427,7,500,10,9.174311926605505,0.1,0.8889066666666666,0.0454822222222222,0.8658,0.9112822222222222,1,600,0.502
1429,9,500,10,9.174311926605505,0.1,0.8855452457989408,0.05985064011379804,0.8539873755334281,0.9138380156472261,1,400,0.51
1430,10,500,10,9.174311926605505,0.1,0.8784766737891738,0.06952012108262107,0.8474581552706554,0.9169782763532764,2,100,0.482
1432,12,500,10,9.174311926605505,0.1,0.8653086639388011,0.06257338551859093,0.8389921722113504,0.9015655577299413,5,100,0.514
1434,14,500,10,9.174311926605505,0.1,0.8934881440541986,0.05012479942948833,0.8734622927438046,0.9235870921732929,3,200,0.476
1431,11,500,10,9.174311926605505,0.1,0.8729756016796392,0.043076438203060397,0.8442768461175996,0.88735328432066,3,600,0.51
1433,13,500,10,9.174311926605505,0.1,0.8446567538140233,0.05613636964190205,0.8145669642857143,0.8707033339276163,2,500,0.47
1435,15,500,10,9.174311926605505,0.1,0.904596372688478,0.05459415007112389,0.8730729907539118,0.9276671408250357,3,200,0.494
1438,18,500,10,9.174311926605505,0.1,0.8853372696367867,0.04700751476113796,0.8619744140275541,0.9089819287886921,2,500,0.46
1436,16,500,10,9.174311926605505,0.1,0.8629293292573278,0.061807678475094385,0.8292595756158964,0.8910672540909907,2,300,0.448
1437,17,500,10,9.174311926605505,0.1,0.885449472149352,0.04865182869368101,0.8596718320206047,0.9083236607142857,4,600,0.47
1439,19,500,10,9.174311926605505,0.1,0.8818901137980084,0.05239375889046938,0.8545763691322902,0.9069701280227596,3,300,0.508
1441,1,500,10,7.352941176470588,0.2,0.8967905405405405,0.052664918207681266,0.8654983108108109,0.9181632290184921,4,600,0.492
1442,2,500,10,7.352941176470588,0.2,0.9105307610241822,0.04811966571834991,0.8835237375533428,0.9316434032716927,5,500,0.506
1440,20,500,10,9.174311926605505,0.1,0.8777853879606756,0.059657451831240604,0.8469630838830451,0.9066205357142857,3,300,0.47
1443,3,500,10,7.352941176470588,0.2,0.891602917630315,0.05157890055150327,0.8658312577833126,0.9174101583348159,4,500,0.484
1444,4,500,10,7.352941176470588,0.2,0.9056490384615385,0.053294159544159614,0.8812299679487179,0.9345241274928775,3,400,0.52
1448,8,500,10,7.352941176470588,0.2,0.9294755555555556,0.03695777777777787,0.9118711111111111,0.9488288888888889,4,100,0.5
1445,5,500,10,7.352941176470588,0.2,0.8691834551613479,0.04388928507755385,0.8477536102692103,0.8916428953467641,5,600,0.524
1449,9,500,10,7.352941176470588,0.2,0.8910122863247864,0.03654291310541313,0.8700943732193732,0.9066372863247864,3,400,0.522
1446,6,500,10,7.352941176470588,0.2,0.866457443019943,0.06309428418803409,0.8376736111111112,0.9007678952991452,5,600,0.522
1447,7,500,10,7.352941176470588,0.2,0.8746532716927453,0.06463371266002838,0.840036006401138,0.9046697190611663,1,600,0.504
1450,10,500,10,7.352941176470588,0.2,0.874248888888889,0.04001777777777771,0.8524311111111111,0.8924488888888888,4,200,0.502
1451,11,500,10,7.352941176470588,0.2,0.9056321123755333,0.04973106330014221,0.8783317034139403,0.9280627667140825,4,300,0.492
1452,12,500,10,7.352941176470588,0.2,0.8911555555555555,0.05740888888888884,0.8670177777777778,0.9244266666666666,3,500,0.502
1453,13,500,10,7.352941176470588,0.2,0.8972311111111111,0.04590666666666665,0.8772355555555555,0.9231422222222222,1,500,0.498
1454,14,500,10,7.352941176470588,0.2,0.9007053571428572,0.05003124999999997,0.8816205357142858,0.9316517857142858,4,600,0.466
1455,15,500,10,7.352941176470588,0.2,0.8940411384445917,0.06599219406629653,0.8594319130765606,0.9254241071428572,1,400,0.47
1457,17,500,10,7.352941176470588,0.2,0.8923853129445234,0.0464149182076814,0.8759312766714082,0.9223461948790896,2,200,0.506
1456,16,500,10,7.352941176470588,0.2,0.8871486841093008,0.04966104195668908,0.8579723892640709,0.90763343122076,2,300,0.49
1458,18,500,10,7.352941176470588,0.2,0.911919587262053,0.05276863547411492,0.8889810531933819,0.9417496886674969,2,500,0.514
1459,19,500,10,7.352941176470588,0.2,0.8988146358919306,0.05205314009661832,0.8740315798890678,0.9260847199856861,2,600,0.542
1461,1,500,10,5.524861878453039,0.3,0.9195868945868945,0.03713942307692297,0.8962250712250712,0.9333644943019942,3,200,0.522
1462,2,500,10,5.524861878453039,0.3,0.9299821053403425,0.046432112748803434,0.9052659669098025,0.951698079658606,3,200,0.49
1460,20,500,10,7.352941176470588,0.2,0.8847744696024247,0.04960554466036726,0.855299518630772,0.9049050632911393,4,600,0.474
1464,4,500,10,5.524861878453039,0.3,0.9244866071428571,0.042977678571428535,0.9013772321428571,0.9443549107142857,4,600,0.534
1466,6,500,10,5.524861878453039,0.3,0.940541986093778,0.03601800677482614,0.9236940631128544,0.9597120698876805,2,300,0.524
1465,5,500,10,5.524861878453039,0.3,0.9135713015647227,0.04994443456614517,0.8875977951635845,0.9375422297297297,3,100,0.504
1463,3,500,10,5.524861878453039,0.3,0.9074385683760683,0.04751602564102564,0.8882656695156695,0.9357816951566952,1,500,0.482
1468,8,500,10,5.524861878453039,0.3,0.9160355555555555,0.04378222222222217,0.8974555555555556,0.9412377777777777,2,100,0.502
1467,7,500,10,5.524861878453039,0.3,0.8957814722617353,0.0475173364153626,0.8712771159317213,0.9187944523470839,4,600,0.496
1470,10,500,10,5.524861878453039,0.3,0.9254489687055475,0.04255200924608826,0.9034939544807966,0.9460459637268849,2,600,0.494
1469,9,500,10,5.524861878453039,0.3,0.9145956342816246,0.043896493111468926,0.8917852030774737,0.9356816961889426,5,500,0.458
1472,12,500,10,5.524861878453039,0.3,0.9167309091893132,0.04823019087627034,0.892959975040114,0.9411901659163844,1,600,0.47
1471,11,500,10,5.524861878453039,0.3,0.896070412517781,0.05310055120910395,0.8708837126600284,0.9239842638691323,3,200,0.496
1473,13,500,10,5.524861878453039,0.3,0.9193818214349616,0.05366791912685642,0.8921676507425299,0.9458355698693863,3,500,0.54
1474,14,500,10,5.524861878453039,0.3,0.9033503310073359,0.04241143317230278,0.8820316693505099,0.9244431025228127,5,500,0.542
1475,15,500,10,5.524861878453039,0.3,0.9313600782778865,0.030661803949475153,0.9158868528731543,0.9465486568226295,2,300,0.512
1477,17,500,10,5.524861878453039,0.3,0.9263035714285716,0.0436227678571427,0.9030000000000001,0.9466227678571428,2,200,0.464
1476,16,500,10,5.524861878453039,0.3,0.9034913716420565,0.04595934887030784,0.883784024194983,0.9297433730652909,3,500,0.488
